Class,Charges,Spell Name,Spell Description
Chaos,17,Acid Bomb,"Target takes a small amount of damage, and its Bomb detonates."
Chaos,14,Acid Breath,Target is afflicted with Poisoned and Burning.
Chaos,5,Acid Rain,Enemies take a moderate amount of damage and lose a large amount of Defense.
Chaos,16,Adrenaline Rush,Caster Attacks random enemies 3 times. Each attack deals 15% normal damage.
Chaos,17,Affliction,Enemies are afflicted with a random debuff.
Chaos,12,Aftermath,Caster Attacks random enemies once for each turn the caster has taken in the current battle. Maximum of 10 attacks.
Chaos,20,Anger,Target creature's Attack is set equal to its Intelligence.
Chaos,4,Apocalypse,All creatures take a massive amount of damage.
Chaos,2,Arbitration,"Enemies' buffs are removed, and your creatures gain those buffs."
Chaos,1,Awakened Nether Orbs,One of the five Nether Orbs (chosen randomly) is awakened to cast a powerful spell. This spell is an Ultimate Spell.
Chaos,18,Bangin' Bourbon,"Deals a massive amount of damage to the target, then bounces to each of the target's allies at random. The damage is reduced by 20% for each bounce. This spell is a Booze Spell."
Chaos,7,Bladestorm,"Enemies take a moderate amount of damage, plus 1% more damage for every 1% Health each enemy is missing."
Chaos,8,Blastar Punch,Target takes a large amount of damage and is afflicted with Scorned.
Chaos,8,Blastwave,"Enemies take a small amount of damage, or a massive amount if they are afflicted with Burning."
Chaos,5,Blitz Howl,"Enemies take a moderate amount of damage and have a 10% chance to be afflicted with Silenced, Burning, and Feared.
This spell cannot be cast manually, but has a 30% chance to cast at the start of the caster's turn."
Chaos,10,Blow Mind,"Enemies take a small amount of damage, plus 20% more damage for each time enemies have Cast a spell in the current battle."
Chaos,4,Boiling Blood,Target takes a large amount of damage and the caster recovers a large amount of Health.
Chaos,1,Butcher,"Target takes a devastating amount of damage. In addition, your creatures gain Attack, Intelligence, Defense and Speed equal to 30% of the damage dealt. This spell is an Ultimate spell."
Chaos,10,Cauterize Wound,"Target recovers a small amount of Health, or a massive amount of Health if the target is afflicted with Burning."
Chaos,18,Chaos Blades,"Target takes a small amount of damage, plus 5% more damage for each time your creatures have Attacked in the current battle."
Chaos,12,Chaos Bolt,Target takes a moderate amount of damage that ignores 50% of its Defense.
Chaos,15,Chaos Channelling,Target is afflicted with 3 random debuffs.
Chaos,10,Chaos Mastery,Your creatures gain a moderate amount of Attack and Savage.
Chaos,7,Chaos Nexus,Enemies' Classes are changed to match that of the target for the rest of the battle.
Chaos,3,Chaos Orb,Enemies take a large amount of damage and their buffs and minions are removed.
Chaos,20,Chaos Reign,Caster Casts one of the target's Spell Gems.
Chaos,15,Chaos Rift,Your creatures gain a random trait for the rest of battle.
Chaos,20,Chaos Spheres,Target's spell gems are Sealed for the rest of the battle.
Chaos,10,Clayman,Target gains Maximum Health equal to its Current Health.
Chaos,10,Cloud of Embers,"Enemies take damage based on how low they are on the Timeline. The lower their position, the more damage they take."
Chaos,1,Colorwave,"Target takes a devastating amount of damage, plus 50% more damage for each Chaos Infusion you have."
Chaos,13,Conflagration,"Target takes a small amount of damage, and all enemies take damage equal to 35% of the damage the target's Burning debuff would deal over its remaining duration."
Chaos,15,Conjoin,Potency of the target's Bomb is increased by 80% of the caster's Speed.
Chaos,10,Controlled Burn,"Target takes a large amount of damage, plus 5% more damage for each time the caster has Cast a spell in the current battle."
Chaos,8,Crush Punch,Target takes a large amount of damage and loses a large amount of Defense.
Chaos,7,Debilitating Blast,Enemies take a small amount of damage for each debuff (up to 3) they have.
Chaos,5,Demon Core,"Your creatures gain a large amount of Attack and Intelligence, and a random Chaos Spell Gem."
Chaos,6,Demon's Judgment,"Enemies lose a large amount of a random stat, and your creatures gain a large amount of that stat."
Chaos,11,Demonic Strike,"Target takes a moderate amount of damage, plus 50% more damage for each enemy of the same class fighting on the target's side."
Chaos,8,Demonwrath,"Target takes a massive amount of damage, minus 30% damage for each turn the caster has taken in the current battle."
Chaos,16,Desperation,"Target gains a Barrier that absorbs damage equal to its Defense, and loses 50% Defense."
Chaos,2,Devastating Throw,"Target takes massive damage and has a 50% chance to be sent to the bottom of the Timeline.
50% of the damage is based on the caster's Attack and 50% of the damage is based on the caster's Speed instead of Intelligence."
Chaos,9,Devastation,Increases the duration of enemies' Burning and Poisoned debuffs by 3 turns and increases their potency by 50%.
Chaos,12,Dissonance,"Potencies of enemies' Bomb, Poisoned, and Burning debuffs are averaged."
Chaos,14,Double Punch,Target takes a small amount of damage twice. 100% of the damage dealt is based on the caster's Attack instead of Intelligence.
Chaos,11,Downburst,Target and the creatures adjacent to it takes a moderate amount of damage.
Chaos,7,Duel,Target and caster Provoke and Attack each other.
Chaos,6,Elder Dragon's Call,"Target takes a large amount of damage, and all other enemies take 30% of this damage."
Chaos,25,Erratium,Your creatures gain a random trait and are afflicted with Disarmed.
Chaos,15,Eviscerate,Target takes damage. The amount of damage is increased based on how much Health the target is missing.
Chaos,13,Failed Experiment,"Enemies take a small amount of damage, or a massive amount if they are afflicted with Vulnerable."
Chaos,15,Feeling Lucky,Caster Casts one of its other spells. The targets are chosen at complete random.
Chaos,15,Fiery Gleam,Target is afflicted with Burning and Blind.
Chaos,7,Fiery Stew,"Target recovers a small amount of Health and gains a small amount of Defense. Then, a random enemy is afflicted with Burning."
Chaos,8,Fireball,Target takes a moderate amount of damage and is afflicted with Burning.
Chaos,13,Firedevil's Rage,Enemies are afflicted with Burning.
Chaos,8,Firestorm,Enemies take a moderate amount of damage and are afflicted with Burning.
Chaos,6,Firewall,Enemies take a moderate amount of damage. Your creatures gain a moderate amount of Defense.
Chaos,13,Flame Enchantment,Target gains Proficient.
Chaos,12,Flame Lash,Your creatures gain Berserk and Splashing.
Chaos,9,Flame Strike,Enemies take a small amount of damage. This spell Casts a number of times equal to the number of enemies that are afflicted with Burning.
Chaos,22,Flameheart,Your creatures gain a Barrier that absorbs damage equal to the amount of damage they've taken in the current battle.
Chaos,18,Fracking Strike,"Target takes a small amount of damage, plus 10% for each Charge this Spell Gem is missing."
Chaos,12,Fractal Explosion,Afflicts 3 random enemies with Bomb.
Chaos,10,Fragile Perfection,Caster gains 3 random buffs and is afflicted with 3 random debuffs.
Chaos,15,Frustration,"Target takes a moderate amount of damage, plus 15% more damage for each debuff the caster has."
Chaos,11,Golden Stout,Caster Casts the Spell Gem in its Artifact's Spell Slot. This spell is a Booze Spell.
Chaos,7,Gunpowder,Potency of enemies' Bomb debuffs is increased by 30% of the caster's Speed.
Chaos,1,Heat Beam,"Target is killed. If it cannot be killed, it takes a devastating amount of damage 3 times. This spell is an Ultimate Spell."
Chaos,1,Heat Wave,"Enemies take a large amount of damage. In addition, enemies' Maximum Health is reduced by the amount of damage dealt. This spell is an Ultimate spell."
Chaos,20,Hell Forge,Target gains Taunting and Splashing.
Chaos,8,Hellcry Punch,Target takes a large amount of damage and is afflicted with Cursed.
Chaos,15,Hoo Hay Hell,"Random enemies take a large amount of damage continuously. After each enemy takes damage, the spell has a 35% chance to end."
Chaos,10,Immolation Aura,Your creatures gain Savage and Splashing.
Chaos,7,Impale,"Target takes a large amount of damage, and enemies adjacent to the target take 75% of that damage."
Chaos,20,Implosion,Target takes a small amount of damage. This damage is increased by the number of buffs the target has.
Chaos,15,Infernal Charge,Target Attacks a random enemy for 100% extra damage.
Chaos,9,Infernal Claw,"Target takes a small amount of damage and is afflicted with Burning, Bleeding and Vulnerable."
Chaos,12,Infernal Pillars,"Target takes a small amount of damage, or a massive amount of damage if it is afflicted with Burning."
Chaos,20,Inferno,Extends the duration of the enemies' Burning debuff by 1 turn and increases the debuff's potency by 100%.
Chaos,15,Inner Destruction,"Caster takes a moderate amount of damage. This spell cannot be cast manually, and instead has a 20% chance to be cast by enemies at the start of their turns."
Chaos,10,Internal Combustion,"Target takes a moderate amount of damage. If the target is killed by this spell, all other enemies take a moderate amount of damage and are afflicted with Burning."
Chaos,12,Karmic Retribution,Target takes a small amount of damage. The amount of damage increases by 50% for each time this Spell Gem has been Cast in the current battle.
Chaos,15,Kick,"Target takes a moderate amount of damage, plus 25% more damage for each debuff it has."
Chaos,10,Kindle,"Target takes a large amount of damage, plus 5% more damage for each time the caster has Attacked in the current battle."
Chaos,8,Knife's Edge,"Target takes a large amount of damage, plus 5% more damage for every 1% Health the caster is missing."
Chaos,12,Lacerate,"If the target has Bleeding, it takes a massive amount of damage. Otherwise, deals a moderate amount of damage and afflicts the target with Bleeding."
Chaos,10,Last Stand,"Target Attacks random enemies 3 times for 200% normal damage. Then, it dies."
Chaos,6,Living Axe,"Target takes a large amount of damage, plus 25% more damage for each Arsenal Spell spell the caster has Cast in the current battle. This spell is an Arsenal Spell."
Chaos,10,Living Chaos Lance,"Target takes a small amount of damage, or massive damage if the target is a Chaos creature. The damage ia based on the caster's Attack instead of Intelligence. This spell is an Arsenal Spell."
Chaos,7,Living Chaos Shield,"Caster's class is changed to Chaos, it gains Taunting, and it gains a moderate amount of Defense. The potency is based on the caster's Defense instead of Intelligence. This spell is an Arsenal Spell."
Chaos,4,Living Gauntlet,Caster gains a massive amount of Attack and Savage. This spell is an Arsenal Spell.
Chaos,5,Living Sword,"Target takes a large amount of damage, plus damage equal to 50% of the caster's Attack. This spell is an Arsenal Spell."
Chaos,10,Luck of the Draw,All creatures gain a random buff and a random debuff.
Chaos,5,Luck's Gambit,All creatures' Ethereal Spell Gems are replaced with different ones.
Chaos,10,Magma Orb,"Target takes a moderate amount of damage, and random enemies take a moderate amount of damage for each debuff the target has."
Chaos,3,Mass Mutilation,All creatures Attack themselves for 25% normal damage. This spell can only be Cast once at a time.
Chaos,10,Mass Taunt,Your creatures Provoke.
Chaos,15,Meat Grinder,Enemies take damage equal to 30% of the amount of Attack they've lost in the current battle.
Chaos,20,Memento of Attack,This spell doesn't do anything when Cast. The caster has 5% more Attack for each Charge this Spell Gem is missing.
Chaos,18,Molten Armor,Target gains Shelled and 30% Attack.
Chaos,8,Molten Wall,Your creatures gain a moderate amount of Attack and Defense.
Chaos,5,Morph: Chaos,Your creatures gain a large amount of Attack and their classes become Chaos until the end of battle.
