[2026-01-20 22:00:51.520] [combined] [warning] This is a warning message.
[2026-01-20 22:00:51.520] [combined] [error] This is an error message.
[2026-01-20 22:00:52.931] [combined] [error] [localization.cpp:45] Failed to open font JSON file: localization/fonts.json
[2026-01-20 22:00:52.931] [combined] [error] [localization.cpp:45] Failed to open font JSON file: localization/fonts.json
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.text] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:689:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:747:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:747:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:747:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:747:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.372] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:747:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.373] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:781:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.373] [combined] [warning] [general] [dsl.strict.button] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:793:
  WARNING: unknown field 'padding' 
[2026-01-20 22:00:53.373] [combined] [warning] [general] [dsl.strict.spritePanel] Validation failed at /Users/joshuashin/conductor/workspaces/TheGameJamTemplate/kyoto/assets/scripts/ui/player_inventory.lua:1119:
  WARNING: unknown field 'config' 
[2026-01-20 22:00:55.323] [combined] [warning] [box.cpp:1881] GetGroup called with invalid entity
[2026-01-20 22:01:02.945] [combined] [warning] [box.cpp:1881] GetGroup called with invalid entity
[2026-01-20 22:01:03.967] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:03.967] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:03.967] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:03.967] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:03.967] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:04.053] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:04.053] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:04.053] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:04.053] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:04.053] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:04.158] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:04.158] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:04.158] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:04.158] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:04.158] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:04.264] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:04.264] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:04.264] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:04.264] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:04.264] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:04.348] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:04.348] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:04.348] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:04.348] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:04.348] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:04.452] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:04.452] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:04.452] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:04.452] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:04.452] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:04.556] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:04.556] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:04.556] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:04.556] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:04.556] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:04.658] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:04.658] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:04.658] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:04.658] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:04.658] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:04.761] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:04.761] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:04.761] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:04.761] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:04.761] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:04.864] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:04.864] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:04.864] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:04.864] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:04.864] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:04.966] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:04.966] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:04.966] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:04.966] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:04.966] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:05.048] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:05.048] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:05.048] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:05.048] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:05.048] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:05.152] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:05.152] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:05.152] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:05.152] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:05.152] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:05.258] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:05.258] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:05.258] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:05.258] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:05.258] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:05.363] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:05.363] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:05.363] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:05.363] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:05.363] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:05.449] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:05.449] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:05.449] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:05.449] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
[2026-01-20 22:01:05.449] [combined] [error] [scripting_functions.cpp:814] Key KEY_ENTER not found in enum
[2026-01-20 22:01:05.557] [combined] [error] [scripting_functions.cpp:814] Key KEY_UP not found in enum
[2026-01-20 22:01:05.557] [combined] [error] [scripting_functions.cpp:814] Key KEY_DOWN not found in enum
[2026-01-20 22:01:05.557] [combined] [error] [scripting_functions.cpp:814] Key KEY_LEFT not found in enum
[2026-01-20 22:01:05.557] [combined] [error] [scripting_functions.cpp:814] Key KEY_RIGHT not found in enum
